trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-180.33660636448255,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-82.82828482618558,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-44.242359085410364,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-52.39012996332407,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-42.861071064148064,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-154.12603612199499,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,17,-62.16904391413836,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-300.1698667057196,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-76.6444397540777,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-136.93629377395578,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-21.759495649122844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-15.18732506404896,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-8.942605210781688,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-43.90531066316108,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,15,-78.08102908914164,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-25.846875065624246,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-222.34575530250018,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-71.04413772911259,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-91.42392580146195,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,12.822236159741855,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-47.85649529991655,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,2,-45.79228730945866,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,1,1.7564288914422106,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-32.86028478433207,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,13,-0.3150219105764731,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-42.74344230998603,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-11.03782371401406,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,7,-42.49742781115648,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,13,-31.634231507092448,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",35,0,1.1282576671651914,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
