trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-76.81170259357843,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-33.022759866867474,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",30,11,-118.74188128327833,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-2.9223982839248257,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-144.34276468738295,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-139.1271841909207,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-82.38842056892385,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,12,-134.75204188982926,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-184.06574187244888,"{0: 16, 1: 2, 2: 1, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-80.86503823178192,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-9.724199375361557,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-45.72085690228414,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,6,-16.198809815661047,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-77.10534020876653,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,0,-88.3893749765929,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-104.75086170678219,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-103.73825418369368,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",30,0,-34.8848870406232,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",30,11,-117.52252988571955,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-86.41931103340397,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-61.609390202060894,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-88.39237073981033,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,10,-34.74916497068439,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-77.06805349980718,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,0,-126.60672995311967,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,0,-69.92333416318364,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-47.362683672399555,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-70.80348813798236,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,9,-105.61521755368969,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-58.493523616043696,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,0,-229.08592983349183,"{0: 10, 1: 5, 2: 4, 3: 3, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-90.4912263330702,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",20,0,-117.96407285436331,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-124.95322984444707,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-52.87467317515041,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-89.48513560525201,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-9.96125692968561,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-74.0998884144202,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-120.3392574083116,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,16,-7.881175542604959,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,0,-78.97516531391624,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,1,8.318723838717878,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-12.611335044504894,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-20.885216732742606,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-183.11538685132035,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,14,-1.6085423036188655,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",30,0,-37.654110521547196,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,7,0.9476518674046797,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,14,15.205887280701326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",20,6,-24.064067748771045,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,12,-66.36326048253983,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-78.94191645715699,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,0,-51.142747786228284,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",35,0,-64.30062731171655,"{0: 28, 1: 2, 2: 1, 3: 4, 4: 0}",0
